Steven Enoch,SR,2019-20,C,Louisville,ACC,30,608,110,214,102,189,8,25,54,73,44,125,169,12,8,19,38,70,282,20.3,3.7,7.1,3.4,6.3,0.3,0.8,1.8,2.4,1.5,4.2,5.6,0.4,0.3,0.6,1.3,2.3,9.4
Dwayne Sutton,SR,2019-20,F,Louisville,ACC,30,952,95,188,66,107,29,81,60,86,76,173,249,54,24,20,31,66,279,31.7,3.2,6.3,2.2,3.6,1.0,2.7,2.0,2.9,2.5,5.8,8.3,1.8,0.8,0.7,1.0,2.2,9.3
Ryan McMahon,SR,2019-20,G,Louisville,ACC,30,742,79,188,13,35,66,153,38,41,4,30,34,54,19,2,30,42,262,24.7,2.6,6.3,0.4,1.2,2.2,5.1,1.3,1.4,0.1,1.0,1.1,1.8,0.6,0.1,1.0,1.4,8.7
Lamarr Kimble,SR,2019-20,G,Louisville,ACC,30,649,55,148,39,94,16,54,27,39,9,37,46,78,25,3,46,43,153,21.6,1.8,4.9,1.3,3.1,0.5,1.8,0.9,1.3,0.3,1.2,1.5,2.6,0.8,0.1,1.5,1.4,5.1
Oscar Tshiebwe,FR,2019-20,F,West Virginia,Big 12,29,679,116,209,116,209,0,0,89,130,119,147,266,11,23,32,53,78,321,23.4,4.0,7.2,4.0,7.2,0.0,0.0,3.1,4.5,4.1,5.1,9.2,0.4,0.8,1.1,1.8,2.7,11.1
Derek Culver,SO,2019-20,F,West Virginia,Big 12,29,706,104,234,104,234,0,0,90,168,76,173,249,51,21,20,67,81,298,24.3,3.6,8.1,3.6,8.1,0.0,0.0,3.1,5.8,2.6,6.0,8.6,1.8,0.7,0.7,2.3,2.8,10.3
Miles McBride,FR,2019-20,G,West Virginia,Big 12,29,640,94,234,72,159,22,75,57,79,15,53,68,52,30,13,36,48,267,22.1,3.2,8.1,2.5,5.5,0.8,2.6,2.0,2.7,0.5,1.8,2.3,1.8,1.0,0.4,1.2,1.7,9.2
Jermaine Haley,SR,2019-20,G,West Virginia,Big 12,28,676,95,171,90,153,5,18,55,87,51,71,122,53,34,4,45,49,250,24.1,3.4,6.1,3.2,5.5,0.2,0.6,2.0,3.1,1.8,2.5,4.4,1.9,1.2,0.1,1.6,1.8,8.9
Emmitt Matthews Jr.,SO,2019-20,F,West Virginia,Big 12,29,617,66,172,46,103,20,69,24,40,35,70,105,15,13,6,34,38,176,21.3,2.3,5.9,1.6,3.6,0.7,2.4,0.8,1.4,1.2,2.4,3.6,0.5,0.4,0.2,1.2,1.3,6.1
Zavier Simpson,SR,2019-20,G,Michigan,Big Ten,28,944,141,296,113,216,28,80,53,89,20,105,125,220,27,4,89,70,363,33.7,5.0,10.6,4.0,7.7,1.0,2.9,1.9,3.2,0.7,3.8,4.5,7.9,1.0,0.1,3.2,2.5,13.0
Jon Teske,SR,2019-20,C,Michigan,Big Ten,29,808,132,275,116,212,16,63,59,83,59,142,201,34,28,54,44,73,339,27.9,4.6,9.5,4.0,7.3,0.6,2.2,2.0,2.9,2.0,4.9,6.9,1.2,1.0,1.9,1.5,2.5,11.7
Eli Brooks,JR,2019-20,G,Michigan,Big Ten,28,899,111,272,61,135,50,137,33,46,15,92,107,57,23,5,37,34,305,32.1,4.0,9.7,2.2,4.8,1.8,4.9,1.2,1.6,0.5,3.3,3.8,2.0,0.8,0.2,1.3,1.2,10.9
Franz Wagner,FR,2019-20,G,Michigan,Big Ten,25,779,104,232,65,109,39,123,39,48,24,120,144,25,31,15,39,63,286,31.2,4.2,9.3,2.6,4.4,1.6,4.9,1.6,1.9,1.0,4.8,5.8,1.0,1.2,0.6,1.6,2.5,11.4
Isaiah Livers,JR,2019-20,F,Michigan,Big Ten,19,597,84,182,46,93,38,89,41,43,14,58,72,21,8,13,17,43,247,31.4,4.4,9.6,2.4,4.9,2.0,4.7,2.2,2.3,0.7,3.1,3.8,1.1,0.4,0.7,0.9,2.3,13.0
David Dejulius,SO,2019-20,G,Michigan,Big Ten,29,610,69,167,42,91,27,76,31,44,6,66,72,46,12,1,20,33,196,21.0,2.4,5.8,1.4,3.1,0.9,2.6,1.1,1.5,0.2,2.3,2.5,1.6,0.4,0.0,0.7,1.1,6.8
Anthony Cowan,SR,2019-20,G,Maryland,Big Ten,29,1001,126,332,73,169,53,163,162,202,16,89,105,136,30,5,63,56,467,34.5,4.3,11.4,2.5,5.8,1.8,5.6,5.6,7.0,0.6,3.1,3.6,4.7,1.0,0.2,2.2,1.9,16.1
Jalen Smith,SO,2019-20,F,Maryland,Big Ten,29,900,155,289,125,210,30,79,105,138,94,211,305,22,21,66,50,68,445,31.0,5.3,10.0,4.3,7.2,1.0,2.7,3.6,4.8,3.2,7.3,10.5,0.8,0.7,2.3,1.7,2.3,15.3
Aaron Wiggins,SO,2019-20,G,Maryland,Big Ten,29,845,105,283,55,124,50,159,43,59,35,112,147,43,25,13,50,45,303,29.1,3.6,9.8,1.9,4.3,1.7,5.5,1.5,2.0,1.2,3.9,5.1,1.5,0.9,0.4,1.7,1.6,10.4
Darryl Morsell,JR,2019-20,G,Maryland,Big Ten,29,791,89,205,75,164,14,41,57,75,38,102,140,64,23,9,63,72,249,27.3,3.1,7.1,2.6,5.7,0.5,1.4,2.0,2.6,1.3,3.5,4.8,2.2,0.8,0.3,2.2,2.5,8.6
Eric Ayala,SO,2019-20,G,Maryland,Big Ten,29,803,78,225,43,89,35,136,46,63,13,65,78,71,11,2,43,26,237,27.7,2.7,7.8,1.5,3.1,1.2,4.7,1.6,2.2,0.4,2.2,2.7,2.4,0.4,0.1,1.5,0.9,8.2
